stage,model,accuracy,balanced_accuracy,f1_macro,precision_macro,recall_macro,n_test
stage1_is_shot,gradient_boosting,0.975609756097561,0.7825295723384895,0.8270042194092827,0.8905660377358491,0.7825295723384895,164
stage1_is_shot,xgboost,0.975609756097561,0.7142857142857143,0.7937106918238994,0.9875776397515528,0.7142857142857143,164
stage1_is_shot,lightgbm,0.9695121951219512,0.7111010009099181,0.7648408373960425,0.8625,0.7111010009099181,164
stage1_is_shot,decision_tree,0.9634146341463414,0.707916287534122,0.740506329113924,0.7874213836477988,0.707916287534122,164
stage1_is_shot,random_forest,0.9634146341463414,0.707916287534122,0.740506329113924,0.7874213836477988,0.707916287534122,164
stage1_is_shot,knn,0.9695121951219512,0.6428571428571428,0.7143852316266109,0.9845679012345678,0.6428571428571428,164
stage1_is_shot,svm_rbf,0.9634146341463414,0.5714285714285714,0.615625,0.9815950920245399,0.5714285714285714,164
stage1_is_shot,logistic_regression,0.9573170731707317,0.5682438580527752,0.6001393242772552,0.7314814814814814,0.5682438580527752,164
stage2_weapon,random_forest,0.4968152866242038,0.5032828282828282,0.4838285926161343,0.4981792717086835,0.5032828282828282,157
stage2_weapon,svm_rbf,0.4968152866242038,0.50754662004662,0.4835459861775651,0.5138888888888888,0.50754662004662,157
stage2_weapon,xgboost,0.5031847133757962,0.5217560217560218,0.48032721105014264,0.5880029531192322,0.5217560217560218,157
stage2_weapon,lightgbm,0.5031847133757962,0.5193084693084693,0.48000071047609244,0.5721349409328949,0.5193084693084693,157
stage2_weapon,gradient_boosting,0.49044585987261147,0.5042346542346543,0.4766484200935344,0.5256463359911635,0.5042346542346543,157
stage2_weapon,logistic_regression,0.49044585987261147,0.4993395493395494,0.4733853607465453,0.5039096719768988,0.4993395493395494,157
stage2_weapon,decision_tree,0.4840764331210191,0.49610528360528366,0.4727184121920964,0.5013616557734205,0.49610528360528366,157
stage2_weapon,knn,0.4267515923566879,0.4431623931623932,0.3979904291495484,0.5204565030146425,0.4431623931623932,157
